Date,vix,s&p500
31-Aug-92,13.58,414.839996
1-Sep-92,13.4,414.029999
2-Sep-92,12.73,416.070007
3-Sep-92,12.88,417.980011
4-Sep-92,12.98,417.980011
8-Sep-92,13.65,417.079987
9-Sep-92,13.36,414.440002
10-Sep-92,12.92,416.359985
11-Sep-92,12.47,419.950012
14-Sep-92,13,419.579987
15-Sep-92,13.63,425.269989
16-Sep-92,14.72,419.769989
17-Sep-92,14.31,419.920013
18-Sep-92,13.74,419.929993
21-Sep-92,13.45,422.929993
22-Sep-92,13.88,422.140015
23-Sep-92,13.83,417.140015
24-Sep-92,13.44,417.440002
25-Sep-92,14.8,418.470001
28-Sep-92,15.19,414.350006
29-Sep-92,14.97,416.619995
30-Sep-92,14.28,416.799988
1-Oct-92,16.31,417.799988
2-Oct-92,17.79,416.290009
5-Oct-92,20.01,410.470001
6-Oct-92,19.95,407.570007
7-Oct-92,21.02,407.179993
8-Oct-92,19.26,404.25
9-Oct-92,20.51,407.75
12-Oct-92,19.49,402.660004
13-Oct-92,17.9,407.440002
14-Oct-92,18.42,409.299988
15-Oct-92,17.11,409.369995
16-Oct-92,17.01,409.600006
19-Oct-92,17.31,411.730011
20-Oct-92,16.87,414.980011
21-Oct-92,16.62,415.480011
22-Oct-92,15.84,415.670013
23-Oct-92,16.46,414.899994
26-Oct-92,16.32,414.100006
27-Oct-92,16.24,418.160004
28-Oct-92,15.95,418.48999
29-Oct-92,15.47,420.130005
30-Oct-92,16.15,420.859985
2-Nov-92,16.67,418.679993
3-Nov-92,17.33,422.75
4-Nov-92,16.28,419.920013
5-Nov-92,15.38,417.109985
6-Nov-92,14.69,418.339996
9-Nov-92,14.23,417.579987
10-Nov-92,14.37,418.589996
11-Nov-92,13.99,418.619995
12-Nov-92,14.37,422.200012
13-Nov-92,14.61,422.869995
16-Nov-92,14.86,422.429993
17-Nov-92,15.01,420.679993
18-Nov-92,14.55,419.269989
19-Nov-92,14.33,422.850006
20-Nov-92,13.67,423.609985
23-Nov-92,13.4,426.649994
24-Nov-92,12.66,425.119995
25-Nov-92,12.5,427.589996
27-Nov-92,12.58,429.190002
30-Nov-92,13.01,430.160004
1-Dec-92,12.8,431.350006
2-Dec-92,12.56,430.779999
3-Dec-92,12.03,429.890015
4-Dec-92,11.81,429.910004
7-Dec-92,12,432.059998
8-Dec-92,11.73,435.309998
9-Dec-92,12.58,436.98999
10-Dec-92,12.75,435.649994
11-Dec-92,12.34,434.640015
14-Dec-92,12.66,433.730011
15-Dec-92,12.41,432.839996
16-Dec-92,12.58,432.570007
17-Dec-92,12.14,431.519989
18-Dec-92,11.66,435.429993
21-Dec-92,11.65,441.279999
22-Dec-92,11.75,440.700012
23-Dec-92,11.51,440.309998
24-Dec-92,11.57,439.029999
28-Dec-92,12.22,439.769989
29-Dec-92,12.29,439.149994
30-Dec-92,12.6,437.980011
31-Dec-92,12.57,438.820007
4-Jan-93,13.36,435.709991
5-Jan-93,13.35,435.380005
6-Jan-93,13.37,434.339996
7-Jan-93,14.72,434.519989
8-Jan-93,13.77,430.730011
11-Jan-93,12.86,429.049988
12-Jan-93,12.78,430.950012
13-Jan-93,12.42,431.040009
14-Jan-93,11.99,433.029999
15-Jan-93,11.57,435.940002
18-Jan-93,11.49,437.149994
19-Jan-93,12.06,436.839996
20-Jan-93,12.15,435.130005
21-Jan-93,11.69,433.369995
22-Jan-93,11.3,435.48999
25-Jan-93,11.38,436.109985
26-Jan-93,11.45,440.01001
27-Jan-93,12.01,439.950012
28-Jan-93,12.04,438.109985
29-Jan-93,12.42,438.660004
1-Feb-93,12.33,438.779999
2-Feb-93,12.25,442.519989
3-Feb-93,12.12,442.549988
4-Feb-93,12.29,447.200012
5-Feb-93,12.9,449.559998
8-Feb-93,13.22,448.929993
9-Feb-93,13.48,447.850006
10-Feb-93,13.43,445.329987
11-Feb-93,12.69,446.230011
12-Feb-93,12.38,447.660004
16-Feb-93,15.76,444.579987
17-Feb-93,15.9,433.910004
18-Feb-93,15.56,433.299988
19-Feb-93,15.02,431.899994
22-Feb-93,14.7,434.220001
23-Feb-93,15.04,435.23999
24-Feb-93,14.72,434.799988
25-Feb-93,13.76,440.869995
26-Feb-93,13.16,442.339996
1-Mar-93,13.6,443.380005
2-Mar-93,12.49,442.01001
3-Mar-93,13.13,447.899994
4-Mar-93,13.44,449.26001
5-Mar-93,14.08,447.339996
8-Mar-93,16.22,446.109985
9-Mar-93,14.17,454.709991
10-Mar-93,13.91,454.399994
11-Mar-93,14.26,456.329987
12-Mar-93,15.66,453.720001
15-Mar-93,14.74,449.829987
16-Mar-93,14.51,451.429993
17-Mar-93,14.53,451.369995
18-Mar-93,14.17,448.309998
19-Mar-93,13.23,451.890015
22-Mar-93,13.66,450.179993
23-Mar-93,13.02,448.880005
24-Mar-93,12.44,448.76001
25-Mar-93,12.08,448.070007
26-Mar-93,12.21,450.880005
29-Mar-93,12.63,447.779999
30-Mar-93,12.23,450.769989
31-Mar-93,12.53,451.970001
1-Apr-93,13.02,451.670013
2-Apr-93,14.5,450.299988
5-Apr-93,14.12,441.390015
6-Apr-93,14.24,442.290009
7-Apr-93,13.64,441.160004
8-Apr-93,12.83,442.730011
12-Apr-93,11.93,441.839996
13-Apr-93,11.7,448.369995
14-Apr-93,11.76,449.220001
15-Apr-93,10.96,448.660004
16-Apr-93,11.29,448.399994
